node_num,edge_num,tweet_num,ttg_enabled,ttg_total_ms,topo_idx_ms,ttg_ms,prefetch_ms,walker_ms,resolve_total_ms
,,10,enabled,1150.511,60.082,262.363,825.107,2827.107,201.391
,,10,enabled,1195.310,57.801,274.865,862.616,2856.037,210.314
,,10,enabled,1188.689,62.213,271.865,854.587,2892.971,208.482
,,10,enabled,1195.984,56.377,272.482,867.103,2889.928,208.970
,,10,enabled,1196.737,59.014,271.656,866.044,2874.890,208.253
,,10,enabled,1200.887,56.610,273.238,871.017,2902.260,208.937
,,10,enabled,1198.109,56.917,275.824,865.346,2878.615,208.870
,,10,enabled,1204.057,58.739,457.863,687.436,2896.078,212.778
,,10,enabled,1238.870,56.969,475.205,706.672,2906.026,229.877
,,10,enabled,1247.762,247.451,300.006,700.285,2933.492,234.743
